ensembl,Symbol,Gene type,Tissue,Cluster
ENSMFAG00000033693,CD6,protein_coding,Liver (LL),Cluster U
ENSMFAG00000033727,ZNF592,protein_coding,Liver (LL),Cluster U
ENSMFAG00000034393,SLCO3A1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000034454,ZNF160,protein_coding,Liver (LL),Cluster U
ENSMFAG00000034582,AGAP3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000034590,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000034636,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000034643,PPP2R5A,protein_coding,Liver (LL),Cluster U
ENSMFAG00000035178,PLAAT4,protein_coding,Liver (LL),Cluster U
ENSMFAG00000035439,CXCL2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000035489,TK2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000035645,AGR2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000035744,SUSD1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000035783,FITM1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000035952,ABCC8,protein_coding,Liver (LL),Cluster U
ENSMFAG00000036339,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000036424,TECTB,protein_coding,Liver (LL),Cluster U
ENSMFAG00000036546,DENND2D,protein_coding,Liver (LL),Cluster U
ENSMFAG00000036646,INKA1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000036659,CLEC4G,protein_coding,Liver (LL),Cluster U
ENSMFAG00000036844,FMN1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000036889,AOX1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000036956,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037001,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037041,CCDC88A,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037045,SOX18,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037052,NFIB,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037069,SPPL3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037150,PSTPIP2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037181,LOXHD1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037278,CENPK,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037396,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037615,FAM207A,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037824,SUMO2,protein_coding,Liver (LL),Cluster U
ENSMFAG00000037976,GPR88,protein_coding,Liver (LL),Cluster U
ENSMFAG00000038035,TM9SF4,protein_coding,Liver (LL),Cluster U
ENSMFAG00000038409,NLRC4,protein_coding,Liver (LL),Cluster U
ENSMFAG00000038517,RNF180,protein_coding,Liver (LL),Cluster U
ENSMFAG00000038570,SLC6A6,protein_coding,Liver (LL),Cluster U
ENSMFAG00000038762,ITIH3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000038764,TIMP1,protein_coding,Liver (LL),Cluster U
ENSMFAG00000038887,ARPC4,protein_coding,Liver (LL),Cluster U
ENSMFAG00000039154,PRDM8,protein_coding,Liver (LL),Cluster U
ENSMFAG00000039206,NAGLU,protein_coding,Liver (LL),Cluster U
ENSMFAG00000039261,NA,protein_coding,Liver (LL),Cluster U
ENSMFAG00000039477,MLLT6,protein_coding,Liver (LL),Cluster U
ENSMFAG00000039834,SFT2D3,protein_coding,Liver (LL),Cluster U
ENSMFAG00000039842,PHACTR1,protein_coding,Liver (LL),Cluster U
